Name, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,16, 17, 18, 19, 20
Abdel_Nasser_Assidi_0002.jpg,(Abdel_Nasser_Assidi,98.526764),(Eric_Robert_Rudolph,90.90826),(Sahim_Alwan,89.24567),(Jose_Mourinho,88.639145),(Wolfgang_Clement,86.62691),(Oswaldo_Paya,86.27013),(Abdel_Aziz_Al-Hakim,85.77778),(Art_Hoffmann,83.951195),(Nathirah_Hussein,83.474464),(Charlton_Heston,83.36005)
Aaron_Sorkin_0001.jpg,(Aaron_Sorkin,96.63502),(Carlos_Queiroz,87.90418),(Sherri_Coale,85.92763),(Jim_Furyk,85.899086),(Mitt_Romney,85.899086),(Enrique_Medina_Gomez,85.720695),(Julio_Iglesias_Jr,85.46381),(Anibal_Ibarra,85.18553),(Cheryl_Hines,84.52327),(Zarai_Toledo,83.93213)
Abdullah_0001.jpg,(Abdullah,97.00877),(Munir_Akram,87.04791),(Hana_Makhmalbaf,86.69827),(Lara_Logan,85.042816),(Zhang_Yimou,83.43632),(Deepa_Mehta,83.36005),(Larry_Templeton,81.0336),(Mark_Kelly,78.97412),(Nicolas_Escude,78.87877),(Justin_Wilson,78.554596)
Abdullah_0002.jpg,(Abdullah,97.4309),(Maria_Callas,86.32008),(Saeed_Mortazavi,85.16412),(Zhang_Yimou,84.7521),(Alecos_Markides,82.7689),(Jesse_James,82.29217),(Jennifer_Thompson,81.85358),(Thad_Matta,81.45312),(Stefan_Tafrov,80.44245),(Christian_Malcolm,80.21362)
Abdoulaye_Wade_0001.jpg,(Abdoulaye_Wade,94.42516),(Guillaume_Soro,92.03387),(Robert_Kipkoech_Cheruiyot,88.47502),(Felix_Doh,85.02141),(Joy_Lee_Sadler,84.79024),(Joy_Bryant,78.66901),(Tatiana_Kennedy_Schlossberg,78.554596),(Tara_Dawn_Christensen,78.440186),(Serena_Williams,78.42111),(Anita_DeFrantz,77.88717)
Aaron_Peirsol_0003.jpg,(Aaron_Peirsol,97.15512),(Jesse_Jackson,87.47604),(Alexandre_Herchcovitch,85.97757),(Yuri_Luzhkov,85.720695),(Mike_Maroth,85.70643),(Celso_Lafer,85.27828),(Graeme_Smith,85.0),(Todd_Petit,83.85584),(Colin_Cowie,83.64608),(Paul_William_Hurley,83.5126)
Abdoulaye_Wade_0002.jpg,(Abdoulaye_Wade,95.22105),(Guillaume_Soro,89.00306),(Richard_Hellfant,84.98093),(Robert_Kipkoech_Cheruiyot,84.59955),(Serena_Williams,83.64608),(Tony_Shalhoub,83.39818),(John_Salazar,80.95732),(Denis_Fassou-Nguesso,78.70715),(Joy_Lee_Sadler,78.32577),(Qusai_Hussein,78.24949)
Aaron_Peirsol_0004.jpg,(Aaron_Peirsol,95.98911),(Mike_Maroth,88.86748),(Tomas_Malik,86.89093),(Olivier_Rochus,85.11417),(Colin_Cowie,82.50193),(Mark_Gangloff,81.18615),(Milan_Kucan,80.25176),(Matthew_McConaughey,79.92758),(William_Hochul,79.88944),(Vinnie_Jones,79.77503)
Aaron_Peirsol_0001.jpg,(Aaron_Peirsol,97.57726),(Greg_Owen,88.81753),(Patrick_Eaves,86.66259),(Damon_van_Dam,85.91335),(Jason_White,85.87768),(Jason_Lezak,85.47095),(Graeme_Smith,85.07136),(Tomas_Malik,83.64608),(Tom_Brady,82.38751),(Alexandre_Herchcovitch,82.04427)
Abdoulaye_Wade_0004.jpg,(Abdoulaye_Wade,95.00938),(Guillaume_Soro,86.53415),(Felix_Doh,83.951195),(Sharon_Osbourne,81.85358),(Terry_Gilliam,78.592735),(Juan_Fernandez,78.47832),(Kelly_Osbourne,78.47832),(Melanie_Griffith,78.077866),(Ivana_Trump,77.963455),(Michael_Dell,77.23882)
